Read times - Voltage graph,Voltage(V) - Voltage graph
0,5.14
1,5.14
2,5.14
3,5.14
4,5.14
5,5.14
6,5.14
7,5.14
8,5.14
9,5.14
10,5.14
11,5.14
12,5.14
13,5.14
14,5.14
15,5.14
16,5.14
17,5.14
18,5.14
19,5.14
20,5.14
21,5.14
22,5.14
23,5.14
24,5.14
25,5.14
26,5.14
27,5.14
28,5.14
29,5.14
30,5.14
31,5.14
32,5.14
33,5.14
34,5.14
35,5.14
36,5.14
37,5.14
38,5.14
39,5.14
40,5.14
41,5.14
42,5.14
43,5.14
44,5.14
45,5.14
46,5.14
47,5.14
48,5.14
49,5.14
50,5.14
51,5.14
52,5.14
53,5.14
54,5.14
55,5.14
56,5.14
57,5.14
58,5.14
59,5.14
60,5.14
61,5.14
62,5.14
63,5.14
64,5.14
65,5.14
66,5.14
67,5.14
68,5.14
69,5.14
70,5.14
71,5.14
72,5.14
73,5.14
74,5.14
75,5.14
76,5.14
77,5.14
78,5.14
79,5.14
80,5.14
81,5.14
82,5.14
83,5.14
84,5.14
85,5.14
86,5.14
87,5.14
88,5.14
89,5.14
90,5.14
91,5.14
92,5.14
93,5.14
94,5.14
95,5.14
96,5.14
97,5.14
98,5.14
99,5.14
100,5.14
101,5.14
102,5.14
103,5.14
104,5.14
105,5.14
106,5.14
107,5.14
108,5.14
109,5.14
110,5.14
111,5.14
112,5.14
113,5.14
114,5.14
115,5.14
116,5.14
117,5.14
118,5.14
119,5.14
120,5.14
121,5.14
122,5.14
123,5.14
124,5.14
125,5.14
126,5.14
127,5.14
128,5.14
129,5.14
130,5.14
131,5.14
132,5.14
133,5.14
134,5.14
135,5.14
136,5.14
137,5.14
138,5.14
139,5.14
140,5.14
141,5.14
142,5.14
143,5.14
144,5.14
145,5.14
146,5.14
147,5.14
148,5.14
149,5.14
150,5.14
151,5.14
152,5.14
153,5.14
154,5.14
155,5.14
156,5.14
157,5.14
158,5.14
159,5.14
160,5.14
161,5.14
162,5.14
163,5.14
164,5.14
165,5.14
166,5.14
167,5.14
168,5.14
169,5.14
170,5.14
171,5.14
172,5.14
173,5.14
174,5.14
175,5.14
176,5.14
177,5.14
178,5.14
179,5.14
180,5.14
181,5.14
182,5.14
183,5.14
184,5.14
185,5.14
186,5.14
187,5.14
188,5.14
189,5.14
190,5.14
191,5.14
192,5.14
193,5.14
194,5.14
195,5.14
196,5.14
197,5.14
198,5.14
199,5.14
200,5.14
201,5.14
202,5.14
203,5.14
204,5.14
205,5.14
206,5.14
207,5.14
208,5.14
209,5.14
210,5.14
211,5.14
212,5.14
213,5.14
214,5.14
215,5.14
216,5.14
217,5.14
218,5.14
219,5.14
220,5.14
221,5.14
222,5.14
223,5.14
224,5.14
225,5.14
226,5.14
227,5.14
228,5.14
229,5.14
230,5.14
231,5.14
232,5.14
233,5.14
234,5.14
235,5.14
236,5.14
237,5.14
238,5.14
239,5.14
240,5.14
241,5.14
242,5.14
243,5.14
244,5.14
245,5.14
246,5.14
247,5.14
248,5.14
249,5.14
250,5.14
251,5.14
252,5.14
253,5.14
254,5.14
255,5.14
256,5.14
257,5.14
258,5.14
259,5.14
260,5.14
261,5.14
262,5.14
263,5.14
264,5.14
265,5.14
266,5.14
267,5.14
268,5.14
269,5.14
270,5.14
271,5.14
272,5.14
273,5.14
274,5.14
275,5.14
276,5.14
277,5.14
278,5.14
279,5.14
280,5.14
281,5.14
282,5.14
283,5.14
284,5.14
285,5.14
286,5.14
287,5.14
288,5.14
289,5.14
290,5.14
291,5.14
292,5.14
293,5.14
294,5.14
295,5.14
296,5.14
297,5.14
298,5.14
299,5.14
300,5.14
301,5.14
302,5.14
303,5.14
304,5.14
305,5.14
306,5.14
307,5.14
