Read times - Current graph	Current(A) - Current graph
8482	0.148
8483	0.15
8484	0.148
8485	0.149
8486	0.147
8487	0.147
8488	0.15
8489	0.149
8490	0.147
8491	0.149
8492	0.15
8493	0.149
8494	0.149
8495	0.148
8496	0.15
8497	0.149
8498	0.15
8499	0.147
8500	0.148
8501	0.149
8502	0.148
8503	0.148
8504	0.149
8505	0.151
8506	0.148
8507	0.148
8508	0.148
8509	0.148
8510	0.149
8511	0.149
8512	0.148
8513	0.148
8514	0.148
8515	0.148
8516	0.148
8517	0.148
8518	0.148
8519	0.148
8520	0.148
8521	0.149
8522	0.148
8523	0.148
8524	0.15
8525	0.149
8526	0.149
8527	0.151
8528	0.148
8529	0.148
8530	0.148
8531	0.148
8532	0.149
8533	0.147
8534	0.148
8535	0.147
8536	0.149
8537	0.149
8538	0.146
8539	0.148
8540	0.148
8541	0.149
8542	0.148
8543	0.148
8544	0.148
8545	0.149
8546	0.149
8547	0.148
8548	0.149
8549	0.148
8550	0.148
8551	0.148
8552	0.148
8553	0.15
8554	0.148
8555	0.148
8556	0.149
8557	0.149
8558	0.151
8559	0.149
8560	0.149
8561	0.148
