Read times - Current graph,Current(A) - Current graph
8493,0.159
8494,0.159
8495,0.174
8496,0.158
8497,0.159
8498,0.158
8499,0.158
8500,0.171
8501,0.177
8502,0.158
8503,0.158
8504,0.168
8505,0.184
8506,0.175
8507,0.158
8508,0.159
8509,0.173
8510,0.171
8511,0.158
8512,0.169
8513,0.158
8514,0.158
8515,0.176
8516,0.175
8517,0.158
8518,0.169
8519,0.158
8520,0.172
8521,0.176
8522,0.158
8523,0.167
8524,0.169
8525,0.178
8526,0.176
8527,0.168
8528,0.158
8529,0.169
8530,0.169
8531,0.158
8532,0.158
8533,0.158
8534,0.158
8535,0.169
8536,0.17
8537,0.158
8538,0.176
8539,0.158
8540,0.168
8541,0.169
8542,0.158
8543,0.158
8544,0.171
8545,0.174
8546,0.169
8547,0.158
8548,0.158
8549,0.179
8550,0.169
8551,0.157
8552,0.157
8553,0.158
8554,0.158
8555,0.179
8556,0.179
8557,0.161
8558,0.168
8559,0.171
8560,0.17
8561,0.168
8562,0.158
8563,0.158
8564,0.168
8565,0.169
8566,0.159
8567,0.177
8568,0.158
8569,0.168
8570,0.168
8571,0.158
8572,0.158
